Product_Name,Pricing,Ratings
Samsung Galaxy On8 (Blue| 64 GB) , Rs.16990,4.4
Samsung Galaxy On8 (Black| 64 GB) , Rs.16990,4.4
Samsung Galaxy J6 (Blue| 64 GB) , Rs.9490,4.5
Samsung Galaxy J6 (Black| 64 GB) , Rs.9490,4.5
Samsung Galaxy A10 (Blue| 32 GB) , Rs.7990,4.3
Samsung Galaxy A30 (Blue| 64 GB) , Rs.15490,4.4
Samsung Galaxy A20 (Deep Blue| 32 GB) , Rs.11490,4.3
Samsung Galaxy A30 (Black| 64 GB) , Rs.15490,4.4
Samsung Galaxy A10 (Gold| 32 GB) , Rs.7990,4.3
Samsung Galaxy M20 (Charcoal Black| 32 GB) , Rs.11161,4.3
Samsung Galaxy M10 (Charcoal Black| 32 GB) , Rs.9185,4.3
Samsung Galaxy A20 (Gold| 32 GB) , Rs.11490,4.3
Samsung Galaxy J6 (Gold| 64 GB) , Rs.9490,4.5
Samsung Galaxy A2 Core (Blue| 16 GB) , Rs.5290,4.1
Samsung Galaxy M10 (Ocean Blue| 32 GB) , Rs.8970,4.3
Samsung Galaxy On Nxt (Gold| 64 GB) , Rs.10990,4.3
Samsung Galaxy J6 Plus (Black| 64 GB) , Rs.12990,4.3
Samsung Galaxy A2 Core (Dark Gray| 16 GB) , Rs.5290,4.1
Samsung Galaxy A80 (Phantom Black| 128 GB) , Rs.47990,4.6
Samsung Galaxy S9 Plus (Burgundy Red| 64 GB) , Rs.57900,4.7
Samsung Galaxy J6 Plus (Red| 64 GB) , Rs.12990,4.3
Samsung Galaxy On Nxt (Black| 64 GB) , Rs.10990,4.3
Samsung Galaxy A8 Star (Black| 64 GB) , Rs.19990,4.4
Samsung Galaxy J4 (Blue| 16 GB) , Rs.9600Up to ,4.3
